Frame No.,FRP-inverse-1500,mono-frp-inverse-1500,mono-incremental-frp-1500,il2cpp-incremental-frp-1500,il2cpp,Mono,Incremental il2cpp,Incremental Mono
0,756699,785139,913621,805559,13.21529432,12.73659823,10.94545769,12.41374002
1,522459,501115,466895,469829,19.1402579,19.95549924,21.41809186,21.28433962
2,10782265,11158097,10367342,10301234,0.9274489173,0.8962101692,0.9645673886,0.970757484
3,1174888,1143108,1022682,996305,8.511449602,8.748079796,9.778210627,10.03708704
4,832627,885321,797759,702226,12.01017983,11.29533808,12.53511399,14.24042972
5,675980,684452,691193,627670,14.79333708,14.61022833,14.46773911,15.93193876
6,641587,803721,614943,567964,15.58635072,12.44212855,16.26166978,17.60674972
7,496449,553408,447454,482509,20.14305598,18.06985082,22.34866601,20.72500202
8,585991,626355,470907,525952,17.06510851,15.96538704,21.23561552,19.01314188
9,469530,515503,401006,489489,21.29789364,19.3985292,24.93728273,20.42946828
10,369283,466979,353980,328564,27.07950271,21.41423918,28.25018363,30.43547071
11,449973,490118,341146,355413,22.22355564,20.40324983,29.31296278,28.13628089
12,390995,427748,382784,374391,25.57577463,23.37825075,26.12439391,26.71004378
13,357451,447991,447212,376122,27.97586243,22.321877,22.36075955,26.58711801
14,333747,336247,318674,353253,29.96281615,29.74004229,31.380031,28.30832293
15,296271,398930,235929,316839,33.75288165,25.06705437,42.38563297,31.56177112
16,364575,384234,339154,340236,27.42919838,26.02580719,29.48513065,29.39136364
17,321262,429978,372563,397213,31.12724194,23.25700385,26.84109802,25.17540967
18,247116,345826,277735,388876,40.4668253,28.91627582,36.00554485,25.71513799
19,447841,403302,345055,317344,22.3293535,24.79531468,28.9808871,31.51154583
20,366982,401707,219946,247182,27.24929288,24.89376585,45.46570522,40.45602026
21,405452,455134,254978,222512,24.66383197,21.97155124,39.21906988,44.94139642
22,351979,362662,469297,397540,28.41078587,27.57388422,21.30846777,25.15470141
23,484697,389078,347193,433239,20.63144604,25.7017873,28.80242401,23.08194784
24,409432,404640,370146,327574,24.42408019,24.71332543,27.01636651,30.52745334
25,410239,443712,308326,252953,24.37603446,22.53714121,32.43320382,39.53303578
26,434760,371349,229949,366133,23.00119606,26.92884591,43.48790384,27.31247934
27,341575,394013,388742,364123,29.27614726,25.37987325,25.72400204,27.46324731
28,425985,398698,250279,412105,23.47500499,25.08164074,39.95540976,24.26566045
29,492685,484548,334932,241173,20.2969443,20.63779027,29.85680675,41.46401131
30,314553,350807,230462,389903,31.79114489,28.50570257,43.39110135,25.64740461
31,379616,430953,310835,311349,26.34240917,23.20438656,32.17140927,32.11829812
32,401385,596805,315445,296004,24.91373619,16.75589179,31.70124744,33.78332725
33,468467,362032,378194,392949,21.34622076,27.62186768,26.44145597,25.44859511
34,368102,392861,377512,300152,27.16638323,25.45429554,26.48922418,33.316453
35,343941,590167,227513,233382,29.0747541,16.94435643,43.95353233,42.84820595
36,491705,421543,226892,267313,20.33739742,23.72237233,44.07383248,37.40932914
37,471056,505883,325671,424948,21.22889847,19.76741658,30.70583503,23.53229101
38,328116,454107,251185,468392,30.47702642,22.02124169,39.81129446,21.34963876
39,256312,412003,398259,402905,39.01495053,24.27166792,25.10928818,24.81974659
40,473646,488817,219928,401091,21.11281421,20.45755364,45.46942636,24.93199798
41,375002,361897,238239,446769,26.66652445,27.63217158,41.9746557,22.38293167
42,381511,364996,390985,504739,26.21156402,27.39756052,25.57642876,19.81221978
43,401127,503635,291703,327379,24.9297604,19.85564943,34.2814438,30.54563671
44,355105,460144,295561,330653,28.16068487,21.73232727,33.83396321,30.24318545
45,404669,415073,377886,410262,24.71155438,24.09214765,26.46300736,24.3746679
46,496039,422831,213470,423288,20.15970518,23.6501108,46.84498993,23.62457712
47,352478,396785,321066,399224,28.37056497,25.20256562,31.14624407,25.04859427
48,396122,405845,205409,385774,25.24474783,24.63994875,48.68335857,25.92191283
49,502356,371134,249743,534766,19.90620198,26.94444594,40.04116231,18.69976775
50,381030,478203,372977,523060,26.24465265,20.91162122,26.81130472,19.11826559
51,369488,431410,260917,526154,27.06447841,23.17980575,38.32636432,19.0058424
52,480149,604578,405144,366376,20.82686833,16.54046293,24.682582,27.29436426
53,471928,342928,300348,419541,21.189673,29.16064013,33.29471147,23.83557269
54,415604,395697,233904,385569,24.06136611,25.27186206,42.75258226,25.93569504
55,474448,549387,383213,416738,21.07712542,18.20210526,26.09514813,23.9958919
56,326814,472792,251232,324412,30.59844438,21.1509501,39.80384664,30.82500031
57,400558,462528,346768,416234,24.96517358,21.62031272,28.83772436,24.02494751
58,452908,428336,225381,388093,22.07953933,23.34615816,44.36931241,25.76701976
59,338385,411294,223874,366730,29.55213736,24.3135081,44.66798288,27.26801734
60,370794,501470,231311,325783,26.96915268,19.94137237,43.23183939,30.69527876
61,392507,356000,357264,276784,25.47725263,28.08988764,27.99050562,36.12925603
62,522178,359868,444730,485318,19.15055786,27.7879667,22.48555303,20.60504659
63,370505,510464,317652,322952,26.99018907,19.59002006,31.48099178,30.96435384
64,345256,495213,249469,385518,28.96401511,20.19333095,40.08514084,25.93912606
65,467697,359947,223011,330598,21.38136443,27.78186789,44.84083745,30.24821687
66,370953,483111,377704,318151,26.95759301,20.69917679,26.4757588,31.43161581
67,358253,395674,345485,392287,27.9132345,25.27333108,28.94481671,25.49154063
68,346441,403438,233555,377614,28.86494381,24.78695611,42.81646721,26.48206899
69,509582,359644,228409,413393,19.62392706,27.8052741,43.78111195,24.19005644
70,401632,420135,219045,331825,24.89841447,23.80187321,45.65271976,30.13636706
71,371102,421819,302662,390616,26.94676935,23.70685057,33.04015701,25.60058984
72,424459,401086,267033,372441,23.5594015,24.93230878,37.44855505,26.84989032
73,430576,498325,441534,245181,23.22470365,20.0672252,22.64831247,40.78619469
74,572653,381925,300394,252967,17.46258205,26.18315114,33.28961297,39.5308479
75,373239,423279,239527,341542,26.79248417,23.62507944,41.74894688,29.27897594
76,398534,499603,238877,363848,25.09196204,20.01589262,41.86254851,27.48400431
77,477979,378151,377694,349348,20.92142123,26.44446266,26.47645978,28.6247524
78,489792,459178,371900,342233,20.41683,21.77804686,26.88894864,29.21985898
79,428607,481880,230844,312007,23.33139683,20.75205445,43.31929788,32.05056297
80,352314,446885,247975,256770,28.38377129,22.37712163,40.32664583,38.94535966
81,394820,500089,305340,377213,25.32799757,19.99644063,32.75037663,26.51022102
82,404981,384160,225316,376262,24.69251644,26.03082049,44.38211223,26.57722544
83,459305,632004,432973,239256,21.77202512,15.82268467,23.0961284,41.796235
84,347808,552774,347808,219386,28.75149508,18.0905759,28.75149508,45.58176
85,395655,477896,246170,326833,25.27454474,20.92505482,40.62233416,30.59666558
86,478087,588561,221327,229747,20.91669508,16.99059231,45.18201575,43.52613962
87,348844,588351,328820,464492,28.66610863,16.99665676,30.41177544,21.52889608
88,358445,477280,226421,367285,27.89828286,20.95206168,44.16551468,27.22681297
89,511369,550455,382695,339546,19.55535044,18.16678929,26.13046943,29.45109057
90,519207,536837,382159,226258,19.26014095,18.62762813,26.16711892,44.19733225
91,502230,527968,244019,260264,19.91119607,18.94054185,40.98041546,38.42252482
92,420163,517774,236829,368588,23.80028703,19.31344563,42.22455865,27.13056312
93,603108,630186,367029,381991,16.58077824,15.86833094,27.24580347,26.17862725
94,526616,487165,222988,237408,18.98916858,20.5269262,44.84546254,42.12157973
95,593170,663622,369273,453239,16.85857343,15.0688193,27.08023603,22.06341467
96,452964,535074,360628,363106,22.07680964,18.68900376,27.72940537,27.54016733
97,642991,656927,224620,421856,15.55231722,15.22239153,44.51963316,23.7047713
98,577346,691655,250676,414064,17.32063615,14.4580752,39.89213168,24.15085591
99,497513,707826,321486,355124,20.09997729,14.12776586,31.10555359,28.1591782
100,568449,774847,249206,326450,17.59172767,12.90577366,40.12744476,30.63256241
101,480475,813140,394993,371247,20.8127374,12.29800526,25.31690435,26.9362446
102,606476,885065,355725,397115,16.48869865,11.29860519,28.11160306,25.18162245
103,537574,828125,298524,358347,18.60209013,12.0754717,33.4981442,27.90591243
104,519771,862046,335659,360782,19.2392419,11.60030903,29.79214024,27.71756906
105,612261,868046,230700,323260,16.33290378,11.52012681,43.34633723,30.9348512
106,518731,711124,394153,414126,19.27781451,14.06224512,25.37085852,24.14724021
107,533935,848433,362583,393775,18.72887149,11.78643452,27.57989205,25.395213
108,534747,849907,231292,256979,18.70043217,11.76599322,43.23539076,38.91368555
109,657734,1058241,224723,434951,15.20371457,9.449643323,44.49922794,22.99109555
110,516879,927608,326053,334629,19.34688776,10.78041587,30.66986042,29.88384151
111,662637,976197,212267,408014,15.09121887,10.24383398,47.11047878,24.50896293
112,667298,978311,451537,362807,14.98580844,10.22169842,22.14657935,27.562864
113,604983,1162819,347085,245572,16.52939008,8.599790681,28.81138626,40.72125487
114,592485,1033450,233191,335632,16.87806442,9.676326866,42.88330167,29.79453687
115,766249,1133465,232347,256578,13.05058799,8.822504444,43.03907518,38.97450288
116,615788,965135,321579,507707,16.2393551,10.3612448,31.09655792,19.6963997
117,661214,1184303,223758,379551,15.12369672,8.443785079,44.69113953,26.34692044
118,781924,1007632,407100,359490,12.7889667,9.924258062,24.56398919,27.81718546
119,686291,1149201,356247,358571,14.57107845,8.701697962,28.07041182,27.88847955
120,778430,1176451,234735,408789,12.84637026,8.500141527,42.60123118,24.46249777
121,777278,1012489,241136,431653,12.8654098,9.876650512,41.47037357,23.16675663
122,773611,1197921,391765,495572,12.92639324,8.34779589,25.52550636,20.17870259
123,672747,1060644,327379,366759,14.86442898,9.428234167,30.54563671,27.26586123
124,735196,1137589,275631,465154,13.60181503,8.790521005,36.28038936,21.49825649
125,957326,1033468,384594,504208,10.44576247,9.676158333,26.00144568,19.83308476
126,876112,1112606,209841,395726,11.41406578,8.987907669,47.65512936,25.27001006
127,951354,988182,337316,461339,10.51133437,10.11959335,29.64579208,21.67603433
128,982210,1107152,215290,494700,10.18112216,9.032183476,46.4489758,20.21427128
129,1162571,1031869,390785,441782,8.601625191,9.691152656,25.58951853,22.63559855
130,1173283,1161839,263739,419234,8.523092894,8.607044522,37.91627329,23.85302719
131,1071206,1128057,411546,454396,9.335272581,8.864800272,24.29862032,22.00723598
132,1122007,1168240,311489,675933,8.912600367,8.559884955,32.10386242,14.79436571
133,1140920,1018796,251148,605175,8.764856432,9.815507717,39.8171596,16.52414591
134,1137780,1243631,385975,571267,8.789045334,8.040970352,25.90841376,17.50494952
135,1065472,1035236,358086,726426,9.385511773,9.659633166,27.92625235,13.7660271
136,1224000,1124363,246216,727429,8.169934641,8.893924827,40.61474478,13.7470461
137,1123897,1159017,247821,557934,8.897612504,8.628001142,40.35170546,17.92326691
138,1071780,1080089,332940,723856,9.330273004,9.258496291,30.03544182,13.81490241
139,1280226,1101675,234637,537952,7.811120849,9.077087163,42.61902428,18.58901909
140,1134468,1127787,483349,478204,8.814704337,8.866922566,20.68898456,20.91157749
141,1038806,1167885,362233,592536,9.626436505,8.562486889,27.60654054,16.87661172
142,1142044,1097798,357270,556590,8.756230058,9.109143941,27.99003555,17.96654629
143,1134337,1123817,234987,472521,8.815722312,8.898245889,42.55554563,21.16308058
144,1066084,1589499,335011,580770,9.380123893,6.291290526,29.84976613,17.21852024
145,1156964,1201382,371167,638191,8.643311287,8.323747151,26.94205034,15.66929023
146,1118344,1163187,293401,608874,8.941792507,8.597069947,34.08304675,16.42375927
147,1232631,1121237,445975,597388,8.112727978,8.91872102,22.42278155,16.73953946
148,1192621,1074490,296574,637771,8.384893441,9.306740872,33.71839743,15.67960914
149,1074775,1082842,267476,554272,9.304272987,9.234957639,37.38653188,18.04168351
150,1182968,1150740,403227,597976,8.453314037,8.690060309,24.79992659,16.72307919
151,1319111,1270051,386049,747303,7.580863172,7.87369956,25.90344749,13.38145304
152,1199086,1223244,353994,519146,8.339685394,8.174983895,28.24906637,19.26240403
153,1210461,1149005,231758,571248,8.261315317,8.703182319,43.14845658,17.50553175
154,1154253,1150783,414415,614621,8.663611877,8.689735597,24.13040069,16.27018927
155,1162147,1199908,369035,500728,8.604763425,8.333972271,27.09770076,19.97092234
156,1087814,1162572,404104,543956,9.192748025,8.601617792,24.74610496,18.38383987
157,1190722,1271744,336830,522492,8.398265926,7.863217755,29.68856693,19.13904902
158,1262110,1247620,242353,528939,7.923239654,8.015261057,41.26212591,18.90577174
159,1382714,1159156,405825,612391,7.232153576,8.626966517,24.64116306,16.32943659
160,1059175,1234034,384944,626878,9.441310454,8.103504442,25.97780456,15.95206723
161,1387113,1206528,329282,689486,7.209217994,8.288245279,30.36910612,14.50355772
162,1169248,1161671,328764,572475,8.552505542,8.608289266,30.41695563,17.4680117
163,1093277,1378744,332991,676334,9.146812747,7.252978073,30.03084167,14.7855941
164,1235490,1305596,400461,518670,8.093954625,7.659337192,24.97122067,19.28008175
165,1224816,1582361,399272,556599,8.164491646,6.319670417,25.04558296,17.96625578
166,1213489,1205973,242545,653512,8.240700987,8.292059607,41.22946257,15.30193784
167,1450799,1117542,352982,495096,6.892753579,8.948209553,28.33005649,20.19810299
168,1239745,1023951,318076,568300,8.066174899,9.766092323,31.43902715,17.59633996
169,1351279,1126313,391093,433025,7.400396217,8.878526662,25.56936585,23.09335489
170,1392478,1110884,380806,562053,7.181442005,9.001839976,26.26009044,17.79191642
171,1391227,1180131,337853,445369,7.187899602,8.473635554,29.59867161,22.45329154
172,1151715,1133773,247826,559329,8.68270362,8.820107729,40.35089135,17.87856521
173,1299904,1134211,333182,468071,7.692875782,8.816701654,30.01362619,21.36428021
174,1231768,1092098,391839,483051,8.118411909,9.156687404,25.52068579,20.70174785
175,1263595,1117272,450496,469288,7.913928118,8.950371977,22.19775536,21.30887643
176,1229743,1110857,340111,624171,8.13178038,9.002058771,29.40216576,16.02125059
177,1196232,1196064,253639,545001,8.359582422,8.360756615,39.42611349,18.34859019
178,1268848,1176105,400895,569191,7.881164647,8.502642196,24.94418738,17.56879501
179,1239348,1057505,375898,695350,8.068758734,9.456220065,26.60296144,14.38124685
180,1257730,1180365,251399,540420,7.950832055,8.471955709,39.77740564,18.50412642
181,1265824,1190718,421268,756167,7.899992416,8.398294138,23.73785809,13.22459192
182,1271529,935133,331405,714063,7.864547328,10.69366603,30.17455983,14.00436656
183,1287984,1164876,428084,750597,7.764071603,8.584604713,23.35990133,13.32272844
184,1436201,1193652,401160,757115,6.962813701,8.377651108,24.92770964,13.20803313
185,1196260,1370994,337927,653343,8.359386755,7.293977946,29.59219003,15.30589598
186,1091906,1212486,238430,844267,9.158297509,8.247517909,41.94103091,11.84459419
187,1226659,994475,439537,738122,8.152224864,10.05555695,22.75121321,13.54789588
188,1149984,1093511,406073,701546,8.695773159,9.144855424,24.62611402,14.25423279
189,1212859,1125655,400078,716209,8.244981486,8.883716592,24.99512595,13.96240483
190,1227177,1180062,359019,854120,8.148783753,8.47413102,27.85367905,11.70795673
191,1403404,1161265,341123,934400,7.125531921,8.611298885,29.31493919,10.70205479
192,1180178,1308913,282601,1001833,8.473298096,7.639927176,35.38557896,9.981703537
193,1185091,1142455,482799,1008555,8.438170571,8.75307999,20.71255326,9.915175672
194,1195131,1323856,319317,1023970,8.367283586,7.55369164,31.31684188,9.765911111
195,1195420,1256904,367766,903470,8.365260745,7.956057105,27.1912031,11.06843614
196,1070894,1082412,347323,886222,9.337992369,9.238626327,28.79164351,11.28385438
197,1133255,1206594,419938,909670,8.824139316,8.287791917,23.81303907,10.99299746
198,957578,991914,444287,786809,10.44301352,10.08151916,22.50797345,12.70956484
199,1052694,1108197,357554,719904,9.499436683,9.02366637,27.96780346,13.89074099
200,1206888,977582,260800,782671,8.285772996,10.22932092,38.34355828,12.77676061
201,1055255,1137108,420946,692294,9.476382486,8.794239421,23.75601621,14.44473013
202,1184708,1098451,399784,646496,8.440898517,9.103728796,25.01350729,15.4679998
203,1131338,1054705,482346,616380,8.839091412,9.481324162,20.73200566,16.22375807
204,1283819,991042,386632,562846,7.789260013,10.09038971,25.86438784,17.76684919
205,1166411,1366044,433016,681774,8.57330735,7.32040842,23.09383487,14.66761713
206,1185287,1051048,505225,580892,8.436775228,9.514313333,19.79316146,17.21490398
207,1119315,1310285,460938,579450,8.934035549,7.631927405,21.69489172,17.25774441
208,1137174,945196,384118,700640,8.793729016,10.57981625,26.03366674,14.27266499
209,1100289,1107638,438413,657883,9.088521288,9.028220411,22.8095426,15.20027117
210,993706,1049396,425751,677822,10.06333865,9.529291135,23.48790725,14.75313578
211,1226883,1153880,366814,724556,8.15073646,8.666412452,27.261773,13.80155571
212,1124983,1088020,439262,696685,8.889023212,9.191007518,22.76545661,14.35368926
213,1132336,952507,488094,577420,8.831300957,10.49861051,20.48785685,17.3184164
214,1178895,1095401,430207,582361,8.482519648,9.129076932,23.2446241,17.17147955
215,1065412,1039183,377288,672701,9.38604033,9.622944178,26.50495112,14.86544542
216,971266,908201,473669,571323,10.29584069,11.01077845,21.11178903,17.50323372
217,1040238,995931,494672,654482,9.613184675,10.04085624,20.21541547,15.27925902
218,932721,962961,428322,604451,10.72131967,10.38463655,23.34692124,16.54393822
219,1105911,1045888,397605,579823,9.042318957,9.561253213,25.15058915,17.24664251
220,1101139,1039646,459103,689864,9.081505605,9.618658659,21.78160456,14.49561073
221,1017532,940288,434317,625599,9.82770075,10.63503948,23.02465711,15.98468028
222,1322615,1080523,497732,651599,7.560779214,9.254777548,20.09113338,15.3468621
223,1104754,828060,367678,629173,9.051788905,12.07641958,27.19771104,15.89387974
224,1137776,1072074,467240,599077,8.789076233,9.327714318,21.4022772,16.69234506
225,1114683,1073170,401212,605385,8.971160411,9.318188171,24.92447883,16.5184139
226,978226,1113400,429302,579170,10.2225866,8.981498114,23.29362547,17.26608768
227,1163602,1001474,357676,692821,8.594003792,9.985281695,27.9582639,14.43374263
228,1292715,1036174,363096,520709,7.735657125,9.65088875,27.54092582,19.20458452
229,1379909,939868,499486,588360,7.246854684,10.63979197,20.02058116,16.99639676
230,1058852,1040620,413323,647465,9.444190501,9.609655782,24.19415324,15.4448503
231,1065379,887291,396159,507240,9.386331062,11.2702597,25.24239005,19.71453355
232,1262264,922425,371326,563965,7.922272995,10.84098978,26.93051389,17.73159682
233,1106285,946829,504590,568062,9.039262035,10.5615692,19.81807012,17.60371227
234,1348802,1002187,490175,507641,7.413986634,9.978177725,20.40087724,19.69896049
235,1395543,967422,376505,535988,7.165669564,10.33675066,26.56007224,18.65713411
236,1476379,1002182,403307,617453,6.773328529,9.978227508,24.79500728,16.19556468
237,966363,863782,513828,434648,10.34807831,11.57699512,19.46176542,23.00712301
238,1456705,1076777,493343,626047,6.864807906,9.286973997,20.26987309,15.97324163
239,1238261,1081577,390729,520094,8.075841846,9.245758739,25.59318607,19.22729353
240,1053035,869292,403778,441525,9.49636052,11.50361444,24.76608433,22.64877414
241,994956,811124,498679,577747,10.05069571,12.32857122,20.05297997,17.30861432
242,1075885,774996,503835,629467,9.294673687,12.9032924,19.84776762,15.88645632
243,1048141,893658,410603,604853,9.540701108,11.18996305,24.35442508,16.53294272
244,1003027,1010594,397022,704778,9.969821351,9.895170563,25.18752109,14.18886515
245,1069386,952064,500933,668950,9.351160385,10.50349556,19.96274951,14.94880036
246,1076729,760819,525062,635817,9.287388006,13.14373064,19.04536988,15.72779589
247,1147923,928993,415123,765148,8.711385694,10.76434376,24.08924584,13.06936697
248,1022370,845097,425625,672966,9.781194675,11.83296119,23.4948605,14.85959172
249,1053100,1008719,618233,731567,9.49577438,9.913563639,16.17513138,13.66928798
250,1109494,894265,558657,729659,9.013117691,11.18236764,17.90007106,13.70503208
251,1045169,921268,437228,734706,9.567830657,10.85460474,22.87136231,13.61088653
252,1123663,997821,602292,709789,8.899465409,10.02183758,16.60324228,14.08869396
253,1118154,784206,556996,807122,8.943311923,12.75175145,17.95345029,12.38970069
254,959756,971070,434004,719050,10.41931491,10.29791879,23.04126229,13.90723872
255,1250849,1144587,623929,700156,7.994570088,8.736775798,16.02746466,14.28253132
256,1084003,881417,525612,760785,9.22506672,11.34536774,19.02544082,13.14431804
257,1070679,1003014,428989,724644,9.339867505,9.969950569,23.31062102,13.79987967
258,881510,812440,607536,886949,11.3441708,12.30860125,16.45992995,11.27460542
259,1045118,889157,546084,1046788,9.568297551,11.24660774,18.31220105,9.553032706
260,1034775,848853,447977,1004110,9.663936605,11.78060277,22.3225746,9.95906823
261,949791,1209495,650082,830900,10.52863209,8.267913468,15.3826748,12.03514262
262,1027446,1174347,571403,932436,9.732871606,8.51537067,17.50078316,10.72459665
263,1174318,928276,599487,874498,8.515580958,10.77265813,16.68092886,11.43513193
264,1098852,953449,573907,829740,9.100406606,10.48823797,17.42442591,12.05196809
265,1087376,929530,575526,909381,9.196450906,10.75812507,17.37540963,10.99649102
266,953557,897353,520373,893042,10.48705007,11.14388652,19.21698474,11.19768163
267,1057369,926941,568869,1132886,9.457436335,10.78817314,17.57873957,8.827013486
268,1121381,911541,533977,1075134,8.917575739,10.97043358,18.72739837,9.30116618
269,965336,1059001,526438,1092461,10.35908741,9.442861716,18.99558922,9.153644844
270,1331750,929073,560864,1004203,7.508916839,10.76341687,17.82963428,9.958145913
271,907388,931172,643761,959906,11.02064387,10.73915453,15.53371515,10.41768673
272,993305,786254,510012,837054,10.06740125,12.71853625,19.60738179,11.94666055
273,936565,1026927,578423,799457,10.67731551,9.737790515,17.28838584,12.50849014
274,1011723,880717,628062,807192,9.884128363,11.35438512,15.92199496,12.38862625
275,1054159,1009167,507376,890682,9.486234999,9.909162705,19.70924916,11.22735162
276,1018035,894247,461418,942397,9.822844991,11.18259273,21.67232314,10.61123921
277,1243800,926358,641662,1099964,8.039877794,10.79496264,15.58452893,9.091206621
278,965752,917774,503363,1103117,10.3546252,10.89592863,19.86637874,9.065221549
279,998465,868349,492885,1031065,10.0153736,11.516107,20.28870832,9.698709587
280,1052558,911867,648123,945816,9.500664096,10.96651156,15.42917008,10.57288098
281,906661,1081390,502337,818976,11.0294807,9.247357568,19.90695489,12.21037002
282,983582,891489,672327,990025,10.1669205,11.21718832,14.87371473,10.10075503
283,1084409,845093,561689,772971,9.221612879,11.83301719,17.80344639,12.93709596
284,919551,876205,557365,873733,10.87487263,11.4128543,17.94156432,11.445144
285,994206,943032,657883,852566,10.05827766,10.60409403,15.20027117,11.7292972
286,909576,981077,545985,804966,10.99413353,10.19287987,18.31552149,12.42288494
287,1025430,878580,651123,791232,9.752006475,11.38200278,15.35808135,12.63851816
288,1074146,796503,574444,877498,9.309721397,12.55488052,17.40813726,11.39603737
289,1009507,855165,699413,843739,9.905825319,11.69364976,14.29770393,11.85200637
290,995680,982733,568295,779769,10.04338743,10.17570388,17.59649478,12.82431079
291,1056450,913929,618493,1041013,9.465663306,10.941769,16.16833174,9.606027975
292,947934,826515,653591,938278,10.54925765,12.09899397,15.30008828,10.6578221
293,979327,913985,518764,917153,10.21109395,10.9410986,19.2765882,10.90330621
294,970371,923241,668072,835501,10.30533682,10.83140805,14.96844651,11.96886658
295,1019845,1014462,582963,832077,9.805411607,9.857441678,17.15374732,12.01811852
296,1065472,1288432,657482,755509,9.385511773,7.761371962,15.20954186,13.2361097
